,geometry,shape_id,poly_index
0,"MULTILINESTRING ((-116.2679205565138 33.76722173105328, -116.2679 33.76882, -116.2679 33.77296, -116.266883 33.772964, -116.2646081291542 33.7729736713548), (-116.25151 33.75848174857143, -116.25151 33.75838, -116.241158 33.758365, -116.23416 33.75839, -116.23425 33.7582, -116.23423 33.75732, -116.234224 33.755229, -116.23423 33.75121, -116.22979 33.75124, -116.228247 33.751236, -116.2254 33.75123, -116.217431 33.751294, -116.21676 33.7513, -116.21674 33.75096, -116.21676 33.74893, -116.21675 33.746, -116.2168 33.74398, -116.21622 33.74396, -116.21546 33.74396, -116.21351 33.74396, -116.204644 33.743902, -116.19971 33.74385, -116.19957 33.74386, -116.19942 33.7439, -116.19944 33.74378, -116.19945 33.73926, -116.19947 33.73669, -116.19946 33.73343, -116.19948 33.730266, -116.19948 33.7297, -116.19945 33.7295, -116.1994 33.72942, -116.20349 33.72942, -116.20551 33.72945, -116.20642 33.72945, -116.20776 33.72942, -116.209181 33.729426, -116.21631 33.72944, -116.216303 33.726376, -116.21631 33.72397, -116.21625 33.7222, -116.2162 33.71901, -116.21617 33.71865, -116.21624 33.71851, -116.216241 33.717396, -116.21628 33.71565, -116.21633 33.71491, -116.21184 33.7149))",1091108346,0
1,"MULTILINESTRING ((-116.536889 33.84486, -116.536859 33.846419, -116.53687 33.84778, -116.53683 33.85214, -116.534768 33.85213, -116.5303 33.85216, -116.52814 33.85214, -116.528109 33.855629, -116.528079 33.85952, -116.53422 33.859527, -116.53681 33.85952, -116.537569 33.8595, -116.54411 33.8595, -116.545045 33.859532, -116.54553 33.85954, -116.54547 33.85976, -116.54546 33.86005, -116.54546 33.86316, -116.545929 33.863159, -116.54695 33.86321, -116.551432 33.863175, -116.55363 33.8632, -116.55402 33.863229, -116.55461 33.86324, -116.55627 33.86324, -116.55792 33.86329, -116.55876 33.86328, -116.558769 33.862599, -116.559569 33.86257, -116.559719 33.86255, -116.560029 33.86247, -116.5605 33.86221, -116.560789 33.86194, -116.561021 33.861671, -116.5612262997646 33.86133519960978), (-116.5595896726469 33.86031872025644, -116.55944 33.86022, -116.55874 33.85968, -116.55862 33.85961, -116.55802 33.85897, -116.5580098465394 33.8589596105953), (-116.5580012844574 33.85895084954938, -116.556729 33.857649, -116.55433 33.855088, -116.5539 33.85462, -116.547627 33.848028, -116.54741 33.84777, -116.54725 33.84753, -116.54714 33.84733, -116.54696 33.84691, -116.54687 33.84664, -116.546789 33.846299, -116.546759 33.845769, -116.54677 33.842999))",1091108348,0
2,"MULTILINESTRING ((-116.510109 33.962609, -116.510109 33.961449, -116.50133 33.96147, -116.50132 33.960918, -116.50133 33.959369, -116.501309 33.95634, -116.501309 33.951927, -116.501289 33.946769, -116.501407 33.942936, -116.501663 33.933945, -116.50171 33.93249, -116.5017298805891 33.924998), (-116.5058778641341 33.84855844628645, -116.505899 33.84681, -116.50588 33.84623, -116.505839 33.8459, -116.505799 33.84493, -116.50602 33.84493, -116.516848 33.844889, -116.527674 33.84484, -116.52818 33.84484, -116.528169 33.84231, -116.52821 33.836268, -116.528209 33.83213, -116.52824 33.829329, -116.52824 33.827276, -116.52823 33.824989, -116.52824 33.823179, -116.534134 33.823186, -116.54214 33.82317, -116.544957 33.823126, -116.545479 33.823109, -116.545569 33.823079, -116.546799 33.823099, -116.54678 33.81584, -116.546546 33.81584, -116.545569 33.815829, -116.543779 33.81586, -116.54026 33.81586, -116.535728 33.815899, -116.533109 33.815919, -116.533019 33.815909, -116.524906 33.815934, -116.518029 33.81594, -116.518039 33.81922, -116.518049 33.820689))",1091108350,0
3,"LINESTRING (-116.303799 33.75617, -116.30407 33.75622, -116.30435 33.75624, -116.3053 33.75622, -116.30544 33.75624, -116.30557 33.7563, -116.3056 33.75635, -116.30561 33.756419, -116.30562 33.75815, -116.30486 33.75815, -116.30426 33.758129, -116.30399 33.7581, -116.30364 33.75803, -116.30291 33.75782, -116.30268 33.75778, -116.30283 33.75764, -116.3029 33.75753, -116.30354 33.755959, -116.30369 33.75558, -116.30381 33.75518, -116.303864 33.754824, -116.30388 33.75469, -116.303889 33.753979, -116.3039 33.75183, -116.303893 33.745841, -116.303929 33.7436, -116.303919 33.74304, -116.303929 33.736849, -116.30395 33.729769, -116.30398 33.72899, -116.30393 33.72848, -116.30386 33.72809, -116.303798 33.727872, -116.30374 33.72767, -116.30357 33.72721, -116.30335 33.72677, -116.30301 33.72623, -116.302749 33.725889, -116.30233 33.725449, -116.30157 33.724799, -116.29779 33.721689, -116.29753 33.7217, -116.296682 33.72169, -116.29452 33.72172, -116.291919 33.72173, -116.291699 33.72182, -116.28897 33.72184, -116.28625 33.72182, -116.286248 33.721527, -116.28621 33.712533, -116.28617 33.70653, -116.28737 33.70653, -116.28774 33.70657, -116.28819 33.70671, -116.28898 33.70709, -116.28915 33.70715, -116.28942 33.70721, -116.289581 33.707216, -116.291639 33.707189, -116.29194 33.70721, -116.29238 33.70729, -116.29286 33.70745, -116.2933 33.70755, -116.29465 33.70756, -116.29464 33.70613, -116.294659 33.705759, -116.294749 33.705189, -116.2949 33.704489, -116.29496 33.70404, -116.29499 33.70362, -116.294986 33.702862, -116.29494 33.69536, -116.29496 33.69498, -116.295066 33.693877, -116.29527 33.69203, -116.29527 33.69155, -116.29524 33.69119, -116.294929 33.68975, -116.29491 33.689459, -116.294908 33.684916, -116.2949 33.68214, -116.29494 33.68099, -116.294919 33.67814, -116.297582 33.67814, -116.299749 33.67814, -116.30151 33.67816, -116.30368 33.67815, -116.30368 33.675969, -116.303661 33.674234, -116.30367 33.67341, -116.303649 33.67292, -116.30367 33.672639, -116.306639 33.672639, -116.3071 33.672629, -116.3075 33.67257, -116.307699 33.67257, -116.307789 33.67258, -116.30787 33.672609, -116.307889 33.672639, -116.307929 33.67266, -116.307979 33.67267, -116.30804 33.67266, -116.30814 33.67259, -116.308149 33.67248, -116.3081 33.672429, -116.308079 33.672329, -116.308069 33.671109, -116.308079 33.668996, -116.3081 33.660006, -116.3081 33.654339, -116.31069 33.65435)",1091108352,0
4,"LINESTRING (-116.31069 33.65435, -116.30983 33.65434, -116.31325 33.65436, -116.31324 33.65979, -116.31321 33.66342, -116.313211 33.668781, -116.31322 33.67249, -116.31151 33.67251, -116.308959 33.6725, -116.308779 33.67248, -116.308239 33.67249, -116.308149 33.67248, -116.3081 33.672429, -116.308029 33.672419, -116.30795 33.672429, -116.307899 33.672459, -116.307879 33.67249, -116.306939 33.672506, -116.30367 33.6725, -116.303649 33.67292, -116.30367 33.67341, -116.303659 33.674329, -116.30368 33.675969, -116.30368 33.67815, -116.302939 33.67815, -116.30151 33.67816, -116.299749 33.67814, -116.29476 33.67814, -116.29476 33.680325, -116.29477 33.68244, -116.29473 33.68421, -116.29476 33.685389, -116.29476 33.68704, -116.29474 33.6875, -116.29473 33.68903, -116.294746 33.689316, -116.29477 33.68975, -116.29484 33.69017, -116.29495 33.69059, -116.295059 33.69112, -116.2951 33.69155, -116.2951 33.69191, -116.29508 33.69218, -116.2949 33.693789, -116.29478 33.69507, -116.29477 33.69536, -116.29478 33.698271, -116.294799 33.7004, -116.294789 33.70111, -116.29481 33.70352, -116.2948 33.70385, -116.29469 33.70468, -116.29459 33.705099, -116.2945 33.70563, -116.294469 33.70596, -116.29446 33.707239, -116.29446 33.70756, -116.2933 33.70755, -116.29286 33.70745, -116.29238 33.70729, -116.29194 33.70721, -116.291639 33.707189, -116.289699 33.70722, -116.28942 33.70721, -116.28915 33.70715, -116.28898 33.70709, -116.28819 33.70671, -116.28774 33.70657, -116.28737 33.70653, -116.28617 33.70653, -116.286187 33.708101, -116.28623 33.717093, -116.28625 33.72182, -116.28835 33.72184, -116.291378 33.721823, -116.291699 33.72182, -116.291919 33.72173, -116.29452 33.72172, -116.296729 33.721689, -116.29753 33.7217, -116.300815 33.724412, -116.30199 33.72537, -116.30235 33.72571, -116.30279 33.726189, -116.30328 33.726979, -116.30358 33.72766, -116.3037 33.72807, -116.30373 33.728229, -116.30377 33.72849, -116.30381 33.72899, -116.30378 33.729609, -116.303799 33.73063, -116.303789 33.732591, -116.303789 33.73739, -116.30377 33.739569, -116.30378 33.741582, -116.30378 33.74366, -116.30376 33.74406, -116.30373 33.75057, -116.303739 33.751359, -116.30372 33.75455, -116.30368 33.75498, -116.30364 33.75521, -116.30337 33.756039, -116.3038 33.75617)",1091108353,0
5,"MULTILINESTRING ((-116.21184 33.7149, -116.21031 33.71491, -116.20748 33.71489, -116.20733 33.71491, -116.20721 33.71495, -116.20704 33.71517, -116.211939 33.717839, -116.21485 33.71942, -116.21519 33.71897, -116.21533 33.71884, -116.21556 33.71872, -116.21571 33.71867, -116.21586 33.71865, -116.21617 33.71865, -116.2162 33.71901, -116.21625 33.7222, -116.216287 33.723299, -116.21631 33.72397, -116.21631 33.72944, -116.212881 33.729438, -116.20776 33.72942, -116.20642 33.72945, -116.20551 33.72945, -116.20349 33.72942, -116.202067 33.72942, -116.1994 33.72942, -116.19937 33.72955, -116.19936 33.72974, -116.19936 33.736193, -116.19931 33.74055, -116.19933 33.7437, -116.19942 33.7439, -116.19965 33.74394, -116.200945 33.743963, -116.20415 33.74401, -116.20646 33.74401, -116.21022 33.74404, -116.21176 33.744073, -116.21353 33.74411, -116.21665 33.74408, -116.21664 33.749007, -116.21665 33.7513, -116.224708 33.751234, -116.22979 33.75124, -116.23407 33.75121, -116.23409 33.752419, -116.23409 33.75766, -116.23412 33.75822, -116.23416 33.75839, -116.237792 33.758377, -116.24267 33.75836, -116.24861 33.758374, -116.25151 33.75838, -116.25151 33.75848174857143), (-116.2646081381716 33.77297120476084, -116.26899 33.77296, -116.269008 33.768517, -116.2690199530552 33.76572098115948))",1091108354,0
6,"LINESTRING (-116.518029 33.81594, -116.528209 33.81593, -116.528218 33.816465, -116.52824 33.82318, -116.530979 33.823189, -116.541802 33.82317, -116.543199 33.82316, -116.54533 33.823119, -116.545479 33.823109, -116.545569 33.823079, -116.545579 33.82693, -116.5456 33.828936, -116.54561 33.82991, -116.5456 33.83097, -116.54561 33.831569, -116.54561 33.83196, -116.54561 33.83292, -116.545589 33.833089, -116.54561 33.83331, -116.545619 33.833989, -116.545619 33.8361, -116.5456 33.83692, -116.5456 33.837925, -116.54561 33.83989, -116.545589 33.84257, -116.5456 33.84298, -116.545589 33.846915, -116.54556 33.85211, -116.547469 33.85213, -116.55013 33.85212, -116.551509 33.85212, -116.5539 33.85462, -116.556729 33.857649, -116.557354 33.858284, -116.55862 33.85961, -116.55868 33.85973, -116.558809 33.85988, -116.559299 33.8603, -116.55978 33.86067, -116.561149 33.861459, -116.56103 33.86166, -116.560789 33.86194, -116.5605 33.86221, -116.560029 33.86247, -116.559719 33.86255, -116.559569 33.86257, -116.558769 33.862599, -116.55876 33.86328, -116.55792 33.86329, -116.557159 33.863262, -116.55627 33.86324, -116.55461 33.86324, -116.55402 33.863229, -116.55363 33.8632, -116.55096 33.863169, -116.54695 33.86321, -116.546334 33.863179, -116.545929 33.863159, -116.545589 33.863159, -116.5456 33.86006, -116.545569 33.859829, -116.545529 33.859539, -116.54411 33.8595, -116.539816 33.8595, -116.533 33.85953, -116.52899 33.859522, -116.528079 33.85952, -116.52815 33.851285, -116.52818 33.84484, -116.526499 33.84485)",1091108356,0
7,"MULTILINESTRING ((-116.355899 33.776299, -116.355949 33.77348, -116.35601 33.77174, -116.35607 33.768489, -116.356116 33.76731, -116.35617 33.76537, -116.356259 33.76086, -116.356334 33.75832, -116.356359 33.74933, -116.35637 33.748129, -116.35637 33.747029, -116.356349 33.74638, -116.356359 33.74034, -116.35636 33.73998, -116.356299 33.739779, -116.356269 33.737229, -116.356289 33.731354, -116.3563 33.73078, -116.35629 33.728859, -116.35768 33.728859, -116.35823 33.72893, -116.364094 33.72892, -116.36557 33.72893, -116.36632 33.728979, -116.371829 33.728969, -116.37444 33.72898, -116.374897 33.728969, -116.37677 33.72893, -116.37788 33.72894, -116.38211 33.7289, -116.38253 33.72888, -116.38289 33.72884, -116.38364 33.72881, -116.3857 33.72881, -116.39108 33.7288, -116.39305 33.728759, -116.396504 33.72873, -116.40284 33.72869, -116.4028613187937 33.72867996762651), (-116.4008148744062 33.7255874143795, -116.400798 33.725565, -116.40034 33.724909, -116.39951 33.72383, -116.39914 33.72342, -116.3986 33.72294, -116.39852 33.72314, -116.39841 33.72335, -116.398339 33.72363, -116.39837 33.72515))",1091108358,0
8,"MULTILINESTRING ((-116.2679205565138 33.76722173105328, -116.2679 33.76882, -116.2679 33.77296, -116.266883 33.772964, -116.2646081291542 33.7729736713548), (-116.25151 33.75848174857143, -116.25151 33.75838, -116.241158 33.758365, -116.23416 33.75839, -116.23425 33.7582, -116.23423 33.75732, -116.234224 33.755229, -116.23423 33.75121, -116.22979 33.75124, -116.228247 33.751236, -116.2254 33.75123, -116.217431 33.751294, -116.21676 33.7513, -116.21674 33.75096, -116.21676 33.74893, -116.21675 33.746, -116.2168 33.74398, -116.21622 33.74396, -116.21546 33.74396, -116.21351 33.74396, -116.204644 33.743902, -116.19971 33.74385, -116.19957 33.74386, -116.19942 33.7439, -116.19944 33.74378, -116.19945 33.73926, -116.19947 33.73669, -116.19946 33.73343, -116.19948 33.730266, -116.19948 33.7297, -116.19945 33.7295, -116.1994 33.72942, -116.20349 33.72942, -116.20551 33.72945, -116.20642 33.72945, -116.20776 33.72942, -116.209181 33.729426, -116.21631 33.72944, -116.216319 33.72999))",1091108361,0
9,"MULTILINESTRING ((-116.54677 33.843, -116.54678 33.84172, -116.54677 33.83755, -116.5456 33.83756, -116.545606 33.840131, -116.545579 33.849121, -116.54556 33.85211, -116.547469 33.85213, -116.551509 33.85212, -116.552302 33.852953, -116.5539 33.85462, -116.556729 33.857649, -116.5580012844574 33.85895084954938), (-116.5580098465394 33.8589596105953, -116.55802 33.85897, -116.55862 33.85961, -116.55868 33.85973, -116.558809 33.85988, -116.558978 33.86002, -116.559299 33.8603, -116.55978 33.86067, -116.561149 33.861459, -116.56103 33.86166, -116.560789 33.86194, -116.5605 33.86221, -116.560029 33.86247, -116.559719 33.86255, -116.559569 33.86257, -116.558769 33.862599, -116.55876 33.86328, -116.55792 33.86329, -116.55627 33.86324, -116.554503 33.863237, -116.55402 33.863229, -116.55363 33.8632, -116.55096 33.863169, -116.54695 33.86321, -116.545929 33.863159, -116.54559 33.86316, -116.5456 33.861574, -116.5456 33.86006, -116.545569 33.859829, -116.545529 33.859539, -116.54411 33.8595, -116.543279 33.8595, -116.543099 33.8595, -116.54161 33.8595), (-116.54161 33.8595, -116.541609 33.8595), (-116.541609 33.8595, -116.5401 33.8595, -116.540099 33.8595, -116.539179 33.8595, -116.53769 33.8595, -116.537569 33.8595, -116.537161 33.859511, -116.533 33.85953, -116.528079 33.85952, -116.528089 33.858071, -116.52814 33.85214, -116.5303 33.85216, -116.531827 33.852146, -116.53467 33.85213, -116.53683 33.85214, -116.53687 33.84778, -116.536863 33.847302, -116.536859 33.846419, -116.536889 33.84486, -116.529003 33.84484, -116.52818 33.84484, -116.528169 33.84231, -116.52821 33.836532, -116.528209 33.83213, -116.52824 33.829329, -116.52824 33.82754, -116.52823 33.824989, -116.52824 33.82306, -116.522816 33.82308, -116.518039 33.823089, -116.518049 33.820689, -116.518035 33.818068, -116.518029 33.81594, -116.518719 33.81594))",1091108362,0
10,"LINESTRING (-116.28622 33.714559, -116.28617 33.70653, -116.287327 33.70653, -116.28774 33.70657, -116.28801 33.70665, -116.28819 33.70671, -116.28898 33.70709, -116.28915 33.70715, -116.28942 33.70721, -116.289699 33.70722, -116.291639 33.707189, -116.29194 33.70721, -116.29238 33.70729, -116.29286 33.70745, -116.2933 33.70755, -116.29465 33.70756, -116.29464 33.70613, -116.294659 33.705759, -116.294749 33.705189, -116.294815 33.704876, -116.2949 33.704489, -116.29496 33.70404, -116.29499 33.70362, -116.29494 33.695899, -116.29494 33.69536, -116.29496 33.69498, -116.29513 33.693229, -116.29527 33.69203, -116.29527 33.69155, -116.29524 33.69119, -116.294929 33.68975, -116.2949 33.68903, -116.2949 33.686942, -116.29491 33.6848, -116.2949 33.68214, -116.29494 33.68099, -116.294919 33.67814, -116.295148 33.67814, -116.299749 33.67814, -116.30151 33.67816, -116.30368 33.67815, -116.30368 33.676259, -116.303659 33.674329, -116.30367 33.67341, -116.303649 33.67292, -116.30367 33.672639, -116.306639 33.672639, -116.3071 33.672629, -116.3075 33.67257, -116.307699 33.67257, -116.307789 33.67258, -116.30787 33.672609, -116.307889 33.672639, -116.307929 33.67266, -116.30804 33.67266, -116.30814 33.67259, -116.308149 33.672539, -116.308149 33.67248, -116.3081 33.672429, -116.308079 33.672329, -116.308069 33.671022, -116.30809 33.662032, -116.3081 33.654339, -116.309661 33.654342, -116.30983 33.65434)",1091108364,0
11,"LINESTRING (-116.31069 33.65435, -116.30983 33.65434, -116.31325 33.65436, -116.31324 33.65979, -116.31321 33.66342, -116.313211 33.668781, -116.31322 33.67249, -116.31151 33.67251, -116.308959 33.6725, -116.308779 33.67248, -116.308239 33.67249, -116.308149 33.67248, -116.3081 33.672429, -116.308029 33.672419, -116.30795 33.672429, -116.307899 33.672459, -116.307879 33.67249, -116.306939 33.672506, -116.30367 33.6725, -116.303649 33.67292, -116.30367 33.67341, -116.303659 33.674329, -116.30368 33.675969, -116.30368 33.67815, -116.302939 33.67815, -116.30151 33.67816, -116.299749 33.67814, -116.29476 33.67814, -116.29476 33.680325, -116.29477 33.68244, -116.29473 33.68421, -116.29476 33.685389, -116.29476 33.68704, -116.29474 33.6875, -116.29473 33.68903, -116.294746 33.689316, -116.29477 33.68975, -116.29484 33.69017, -116.29495 33.69059, -116.295059 33.69112, -116.2951 33.69155, -116.2951 33.69191, -116.29508 33.69218, -116.2949 33.693789, -116.29478 33.69507, -116.29477 33.69536, -116.29478 33.698271, -116.294799 33.7004, -116.294789 33.70111, -116.29481 33.70352, -116.2948 33.70385, -116.29469 33.70468, -116.29459 33.705099, -116.2945 33.70563, -116.294469 33.70596, -116.29446 33.707239, -116.29446 33.70756, -116.2933 33.70755, -116.29286 33.70745, -116.29238 33.70729, -116.29194 33.70721, -116.291639 33.707189, -116.289699 33.70722, -116.28942 33.70721, -116.28915 33.70715, -116.28898 33.70709, -116.28819 33.70671, -116.28774 33.70657, -116.28737 33.70653, -116.28617 33.70653, -116.286187 33.708101, -116.28623 33.717093, -116.28625 33.72182, -116.28835 33.72184, -116.291378 33.721823, -116.291699 33.72182, -116.29193 33.72189, -116.2977 33.72183, -116.300868 33.724454, -116.30199 33.72537, -116.30235 33.72571, -116.30279 33.726189, -116.30328 33.726979, -116.30358 33.72766, -116.3037 33.72807, -116.30373 33.728229, -116.30377 33.72849, -116.30381 33.72899, -116.30378 33.729609, -116.303799 33.73063, -116.303789 33.732652, -116.303789 33.73739, -116.30377 33.739569, -116.30378 33.741643, -116.30378 33.74366, -116.30376 33.74406, -116.303731 33.750632, -116.303739 33.751359, -116.30372 33.75455, -116.30368 33.75498, -116.30364 33.75521, -116.30337 33.756039, -116.3038 33.75617)",1091108365,0
12,"MULTILINESTRING ((-115.9219593281242 33.52309965933055, -115.92196 33.5231, -115.9238305097081 33.52410309717507), (-115.9262584975317 33.5253597215823, -115.9263768364264 33.52539040203646), (-115.9296042309941 33.52541208665841, -115.930511 33.52541, -115.93078 33.52541, -115.9307798344953 33.52541998545014), (-115.9307279820706 33.5290304886982, -115.93121 33.52906, -115.9314 33.529089, -115.93158 33.52915, -115.93532 33.531129, -115.93514 33.53134, -115.93508 33.53146, -115.93501 33.53167, -115.935 33.531787, -115.93498 33.534239, -115.93489 33.53989, -115.935958 33.539886, -115.93812 33.539879, -115.93927 33.53993, -115.94363 33.53998, -115.946746 33.539987, -115.94799 33.53999, -115.94911 33.53996, -115.9492420198838 33.53996076783078), (-116.0598774259732 33.55478385712641, -116.060658 33.555135, -116.06166 33.55559, -116.06285 33.55619, -116.06372 33.55665, -116.06421 33.55693, -116.0648 33.55731, -116.06554 33.55782, -116.06611 33.55826, -116.06673 33.55878, -116.06714 33.55917, -116.06812 33.56021, -116.0682275728501 33.56033567572464), (-116.0760062146565 33.56934277942872, -116.07607 33.56942, -116.0759069979418 33.56934237997228))",1091108367,0
